"ID";"Onderwijssectoren";"Perioden";"TotaalUitgavenAanOnderwijs_1";"TotaalOverheid_2";"TotaalAanOnderwijsinstellingen_3";"LumpsumFinanciering_4";"Contractonderzoek_5";"Apparaatskosten_6";"TotaalSubsidieEnFiscaleRegelingen_7";"EducatiefDeelDagbestPeuterspeelz_8";"Leerlingenvervoer_9";"OnderwijsvoorzieningenJonggehandicapten_10";"TegemoetkomingSchoolkosten_11";"BegeleidingskostenLeerBedrijven_12";"StudiefinancieringGiften_13";"StudiefinancieringLeningen_14";"TotaalOntvangsten_15";"EUSubsidieregelingen_16";"TerugontvangenStudiefinancieringEn_17";"RenteOpStudieleningen_18";"AflossingenOpStudieleningen_19";"TotaalHuishoudens_20";"TotaalAanOnderwijsinstellingen_21";"LesEnCollegegeldBekostigdOnderwijs_22";"LesEnCollegegeldParticulOnderwijs_23";"OuderbijdragenEnSchoolactiviteiten_24";"TotaalOverigeUitgaven_25";"EducatiefDeelDagbestPeuterspeelz_26";"BoekenLeermiddelenOVEnBijles_27";"TeveelOntvangenStudiefinancieringEn_28";"RenteOpStudieleningen_29";"AflossingenOpStudieleningen_30";"TotaalOntvangenBijdragen_31";"KinderopvangtoeslagEducatiefDeel_32";"OnderwijsvoorzieningenJonggehandicapten_33";"TegemoetkomingSchoolkosten_34";"StudiebeurzenVanBedrijven_35";"StudiefinancieringVoorLesEnColl_36";"StudiefinancieringVoorLevensonderhoud_37";"StudiefinancieringLeningen_38";"TotaalBedrijven_39";"TotaalAanOnderwijsinstellingen_40";"BegeleidingDualeLeerlingenStagiairs_41";"LesEnCollegegeldParticulOnderwijs_42";"Contractonderzoek_43";"TotaalOverigeUitgaven_44";"KinderopvangtoeslagEducatiefDeel_45";"Studiebeurzen_46";"TotaalOntvangenSubsidies_47";"Leerlingenvervoer_48";"BegeleidingskostenLeerBedrijven_49";"TotaalBuitenland_50";"TotaalAanOnderwijsinstellingen_51";"InternationaleMiddelen_52";"Contractonderzoek_53";"EUSubsidieregelingen_54";"TotaalUitgavenAanOnderwijs_55";"InBbp_56";"PerHoofdVanDeBevolking_57";"TotaalOverheidsuitgavenAanOnderwijs_58";"InBbp_59";"InVanDeTotaleOverheidsuitgaven_60";"TotaalAanOnderwijsinstellingen_61";"TotaalInBbp_62";"Overheid_63";"HuishoudensBedrijvenBuitenland_64";"PerDeelnemerInclusiefRD_65";"PerDeelnemerExclusiefRD_66"
"249";"A048427";"2010JJ00";"6384";"4747";"4517";"3782";"688";"47";"347";;;"1";;"0";"346";"740";"116";"0";"31";"85";"146";"725";"582";"408";"174";;"274";;"158";"31";"85";"146";"132";;"1";;"10";"121";"225";"740";"671";"661";"0";"131";"530";"10";;"10";"0";;"0";"241";"241";"10";"231";"0";"6384";"1";"385";"5603";"0.9";"1.8";"6000";"0.9";"0.7";"0.2";"22821";"9352"
"250";"A048427";"2011JJ00";"6815";"5204";"4640";"3883";"708";"48";"676";;;"1";;"0";"674";"730";"111";"0";"28";"83";"137";"585";"624";"434";"190";;"273";;"162";"28";"83";"137";"311";;"1";;"25";"285";"390";"730";"764";"739";"0";"141";"598";"25";;"25";"0";;"0";"262";"262";"9";"253";"0";"6815";"1";"409";"6045";"0.9";"2";"6264";"1";"0.7";"0.2";"23254";"8937"
"251";"A048427";"2012JJ00";"6843";"4950";"4748";"3942";"759";"47";"315";;;"2";;"0";"314";"754";"113";"0";"34";"79";"142";"844";"681";"467";"214";;"274";;"161";"34";"79";"142";"110";;"2";;"20";"89";"225";"754";"766";"746";;"156";"590";"20";;"20";;;;"282";"282";"9";"273";"0";"6843";"1";"409";"5817";"0.9";"1.9";"6457";"1";"0.7";"0.3";"23770";"9831"
"252";"A048427";"2013JJ00";"7042";"5130";"4823";"4020";"753";"51";"411";;;"2";;"0";"410";"733";"105";"0";"35";"70";"147";"827";"709";"485";"224";;"270";;"165";"35";"70";"147";"151";;"2";;"18";"132";"278";"733";"763";"745";;"164";"581";"18";;"18";;;;"322";"322";"10";"312";"0";"7042";"1.1";"420";"5968";"0.9";"1.9";"6599";"1";"0.7";"0.3";"24199";"9807"
"253";"A048427";"2014JJ00";"7141";"5263";"4857";"4092";"714";"51";"498";;;"1";;"0";"497";"824";"92";"0";"32";"61";"165";"740";"761";"518";"243";;"265";;"172";"32";"61";"165";"286";;"1";;"17";"268";"229";"824";"789";"772";;"178";"593";"17";;"17";;;;"349";"349";"8";"341";"0";"7141";"1.1";"425";"6179";"0.9";"2";"6741";"1";"0.7";"0.3";"23878";"9377"
"254";"A048427";"2015JJ00";"7458";"5271";"4976";"4170";"761";"45";"386";;;"2";;"0";"384";"856";"91";"0";"36";"55";"193";"1011";"825";"563";"262";;"271";;"180";"36";"55";"193";"85";;"2";;"18";"65";"319";"856";"805";"787";;"192";"595";"18";;"18";;;;"371";"371";"7";"364";"0";"7458";"1.1";"441";"6218";"0.9";"2";"6959";"1";"0.8";"0.3";"23741";"9364"
"255";"A048427";"2016JJ00";"7564";"5632";"5080";"4277";"757";"46";"628";;;"2";;"0";"626";"942";"76";"0";"32";"44";"215";"768";"884";"614";"270";;"277";;"201";"32";"44";"215";"393";;"2";;"17";"374";"253";"942";"798";"781";;"198";"583";"17";;"17";;;;"365";"365";"7";"358";"0";"7564";"1.1";"446";"6650";"0.9";"2.2";"7110";"1";"0.7";"0.3";"23449";"9981"
"256";"A048427";"2017JJ00";"7838";"5388";"5217";"4394";"779";"44";"248";;;"2";;"0";"246";"910";"77";"0";"38";"39";"247";"1211";"953";"657";"296";;"302";;"225";"38";"39";"250";"44";;"2";;"18";"24";"222";"910";"829";"811";;"217";"594";"18";;"18";"0";;"0";"409";"409";"6";"403";"0";"7838";"1.1";"459";"6375";"0.9";"2";"7390";"1";"0.7";"0.3";"22983";"9782"
"257";"A048427";"2018JJ00";"8178";"6045";"5425";"4614";"766";"45";"678";;;"2";;"0";"676";"903";"58";"0";"22";"36";"284";"847";"980";"691";"289";;"309";;"251";"22";"36";"284";"442";;"2";;"23";"417";"258";"903";"857";"834";;"212";"622";"23";;"23";"0";;"0";"429";"429";"10";"419";"0";"8178";"1.1";"476";"7005";"0.9";"2.1";"7668";"1";"0.7";"0.3";"22521";"9839"
"258";"A048427";"2019JJ00";"8632";"6226";"5776";"4880";"844";"52";"488";;;"2";;"0";"486";"906";"38";"0";"14";"24";"309";"1073";"1016";"721";"295";;"322";;"284";"14";"24";"309";"265";;"2";;"22";"241";"245";"906";"893";"871";;"217";"654";"22";;"22";"0";;"0";"440";"440";"7";"433";"0";"8632";"1.1";"500";"7170";"0.9";"2.1";"8103";"1";"0.7";"0.3";"22850";"9737"
"259";"A048427";"2020JJ00";"9010";"6466";"6003";"5159";"789";"55";"495";;;"2";;"0";"493";"1000";"32";"0";"11";"21";"355";"1168";"1086";"783";"303";;"353";;"321";"11";"21";"355";"271";;"2";;"59";"210";"283";"1001";"911";"852";;"222";"630";"59";;"59";"0";;"0";"465";"465";"12";"453";"0";"9010";"1.1";"517";"7498";"1";"2";"8406";"1.1";"0.7";"0.3";"22580";"9509"
